Sample,Amp28,Amp44,d15NpermilvsAIR,d13CpermilvsVPDB,wtN,wtC,Fixing,Order,Family,Tribe,binomial,Genus,Species,Native_status,Locality,Soil_pct_N_1,Soil_pct_N_2,Soil_pct_C_1,Soil_pct_C_2,County,Collector,Habitat,Habitat_detailed,State,ID_qualifier
JRD542,2125,8804,2.3,-33.97,2.42,44.18,1,Fabales,Fabaceae,Ingeae,Albizia julibrissin,Albizia,julibrissin,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD543,5140,11093,0.3,-32.48,4.71,43.94,1,Fabales,Fabaceae,Ingeae,Albizia julibrissin,Albizia,julibrissin,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD387,8866,6687,1.44,-28.43,4.01,47.09,1,Fabales,Fabaceae,Ingeae,Albizia julibrissin,Albizia,julibrissin,E,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD-338,5696,8840,-1.69,-33.94,2.46,36.91,1,Fabales,Fabaceae,Desmodieae,Alysicarpus vaginalis,Alysicarpus,vaginalis,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD549,3341,10904,1.67,-32.22,3.36,41.78,0,Asterales,Asteraceae,n/a,Ambrosia sp.,Ambrosia,sp.,n/a,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD560,2295,11394,0.26,-31.53,1.93,36.98,0,Asterales,Asteraceae,n/a,Ambrosia sp.,Ambrosia,sp.,n/a,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD496,2368,12181,-0.95,-32.82,2.2,43.88,1,Fabales,Fabaceae,Phaseoleae,Amphicarpaea bracteata,Amphicarpaea,bracteata,E,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD497,3440,12749,-0.41,-32.38,3.14,45.66,1,Fabales,Fabaceae,Phaseoleae,Amphicarpaea bracteata,Amphicarpaea,bracteata,E,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD573,607,11717,1.79,-13.91,0.65,44.44,0,Poales,Poaceae,n/a,Andropogon glomeratus,Andropogon,glomeratus,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD372,2302,6955,5.24,-13.99,0.95,43.06,0,Poales,Poaceae,n/a,Andropogon,Andropogon,sp.,n/a,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD413,854,3990,2.83,-13.45,0.87,43.27,0,Poales,Poaceae,n/a,Andropogon glomeratus,Andropogon,glomeratus,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD-330,8319,9917,-1.07,-31.9,3.61,41.73,1,Fabales,Fabaceae,Ingeae,Arachis hypogaea,Arachis,hypogaea,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-341,2444,9805,-0.19,-33.81,1.1,41.51,0,Ericales,Primulaceae,n/a,Ardisia crenata,Ardisia,crenata,E,Lake Alice,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded forest,Florida,
JRD454,767,3695,0.26,-14.13,0.91,45.36,0,Poales,Poaceae,n/a,Aristida beyrichiana,Aristida,beyrichiana,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD597,564,10706,-1.74,-13.1,0.6,44.36,0,Poacles,Poaceae,n/a,Aristida beyrichiana,Aristida,beyrichiana,N,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD429,1673,3604,1.5,-27.37,1.97,44.3,0,Poales,Poaceae,n/a,Arundinaria gigantea,Arundinaria,gigantea,N,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD519,2059,10115,3.21,-33.25,2.09,44.31,0,Asterales,Asteraceae,n/a,Asteraceae,Asteraceae,sp.,n/a,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD506,1676,13149,1.73,-34,1.87,45.27,0,Asterales,Asteraceae,n/a,Asteraceae,Asteraceae,sp.,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD434,1796,4938,3.25,-32.66,1.65,47.08,0,Asterales,Asteraceae,n/a,Baccharis halimifolia,Baccharis,halimifolia,E,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD-328,6493,9988,1.18,-31.21,2.69,41.42,0,Asterales,Asteraceae,n/a,Bidens pilosa,Bidens,pilosa,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD-342,9203,10598,-2.22,-32.56,3.64,40.28,0,Asterales,Asteraceae,n/a,Bidens pilosa,Bidens,pilosa,N,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-348,6200,10895,-2.17,-32.76,2.62,43.45,0,Asterales,Asteraceae,n/a,Bidens pilosa,Bidens,pilosa,N,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD624,1833,10839,-0.83,-33.49,1.65,37.64,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
JRD585,2666,12514,1.83,-30.76,2.34,41.64,0,Asterales,Asteraceae,n/a,Bidens,Bidens,n/a,n/a,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD607,1549,9033,-3.58,-34.51,1.66,37.66,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD630,3058,9588,-0.35,-34.27,3.23,42.53,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD617,1774,9353,-1.54,-32.75,1.79,39.06,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD580,1976,7922,9.39,-29.62,2.1,33.74,0,Asterales,Asteraceae,n/a,Borrichia frutescens,Borrichia,frutescens,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD-343,6789,9637,-3.05,-33.07,2.68,36.52,0,Asterales,Asteraceae,n/a,Calyptocarpus vialis,Calyptocarpus,vialis,N,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD501,2848,10238,-1.31,-33.57,2.78,39.6,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD-313,3943,9418,-1.48,-29.03,1.71,40.4,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD420,2249,3692,-1.49,-30.62,2.42,41.66,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD425,3231,4034,-1.04,-29.68,3.21,42.48,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD578,3162,12762,0.12,-29.88,2.72,42.63,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD579,3856,9135,-1.33,-28.61,3.24,41.63,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD525,1836,9662,2.76,-33.13,2.24,44.19,0,Fabales,Fabaceae,Cercideae,Cercis canadensis,Cercis,canadensis,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD526,2056,9579,3.29,-33.64,2.36,41.85,0,Fabales,Fabaceae,Cercideae,Cercis canadensis,Cercis,canadensis,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD551,2677,10080,1.65,-31.33,3.06,44.4,0,Fabales,Fabaceae,Cercideae,Cercis canadensis,Cercis,canadensis,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD552,1681,13358,2.79,-31.44,1.42,43.07,0,Fabales,Fabaceae,Cercideae,Cercis canadensis,Cercis,canadensis,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD427,1176,3971,4.75,-33.34,1.33,46.76,0,Fabales,Fabaceae,Cercideae,Cercis canadensis,Cercis,canadensis,N,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD428,963,5340,10.41,-32.29,1.06,44.2,0,Fabales,Fabaceae,Cercideae,Cercis canadensis,Cercis,canadensis,N,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD-332,8936,11236,-1.61,-33.44,3.78,47.06,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-315,4677,12779,0.84,-32.91,1.86,48.96,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD421,2229,4116,0.36,-32.4,2.45,47.42,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD422,2080,4202,0.54,-33.29,2.24,47.66,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD457,2093,3973,0.58,-32.09,2.33,45.15,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD458,2005,4391,1.77,-33.35,2.15,48.87,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD474,2209,10728,2.93,-32.73,2.57,49.96,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD475,2395,11452,1.5,-32.06,2.58,48.78,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD499,2613,11055,0.38,-36.95,2.83,47.36,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD553,2714,10344,-0.26,-32.98,2.81,41.56,1,Fabales,Fabaceae,Cassieae,Chamaecrista fasciculata,Chamaecrista,fasciculata,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD554,2438,9878,0.82,-33.69,2.88,45.89,1,Fabales,Fabaceae,Cassieae,Chamaecrista fasciculata,Chamaecrista,fasciculata,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD581,2190,12407,1.9,-31.95,2.14,48.57,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD582,3805,8523,-0.7,-31.39,3.77,45.74,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD507,3290,11421,0.69,-34.54,3.56,47.66,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD507,3277,10304,0.96,-34.73,3.56,46.71,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD508,4189,13170,1.24,-34.53,3.54,45.91,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD635,1758,10760,1.05,-35.75,1.84,45.63,1,Fabales,Fabaceae,Cassieae,Chamaecrista fasciculata,Chamaecrista,fasciculata,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD636,2569,14129,-0.76,-35.46,2.03,44.18,1,Fabales,Fabaceae,Cassieae,Chamaecrista fasciculata,Chamaecrista,fasciculata,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD563,1261,11163,2.09,-31.79,1.38,46.93,1,Fabales,Fabaceae,Cassieae,Chamaecrista fasciculata,Chamaecrista,fasciculata,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD564,1464,11710,0.28,-33.4,1.53,47.44,1,Fabales,Fabaceae,Cassieae,Chamaecrista fasciculata,Chamaecrista,fasciculata,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD526(2),3458,10508,1.02,-35.81,3.63,47.73,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD527(2),3289,9211,-0.58,-33.89,3.85,47.23,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD600,2321,14572,-1.36,-32.78,2.06,49.06,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD601,1903,11057,-2.34,-32.28,2.16,49.1,1,Fabales,Fabaceae,Cassieae,Chamaecrista nictitans,Chamaecrista,nictitans,N,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD533,1128,9656,1.52,-29.97,1.16,45.33,0,Poales,Poaceae,n/a,Chasmanthium sessiliflorum,Chasmanthium,sessiliflorum,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD379,5151,6184,2.36,-29.16,2.23,40.33,0,Asterales,Asteraceae,n/a,Cirsium,Cirsium,sp.,n/a,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD476,2219,10661,1.65,-28.18,2.36,44.23,1,Fabales,Fabaceae,Phaseoleae,Clitoria mariana,Clitoria,mariana,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD477,2276,10168,2.99,-27.84,2.5,43.86,1,Fabales,Fabaceae,Phaseoleae,Clitoria mariana,Clitoria,mariana,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD-333,11249,10843,-1.21,-32.85,4.48,42.41,1,Fabales,Fabaceae,Crotalarieae,Crotalaria lanceolata,Crotalaria,lanceolata,E,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-335,13246,10803,-1.46,-34.45,5.51,43.69,1,Fabales,Fabaceae,Crotalarieae,Crotalaria pallida,Crotalaria,pallida,E,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-339,12171,10521,-1.16,-33.77,5.11,42.86,1,Fabales,Fabaceae,Crotalarieae,Crotalaria lanceolata,Crotalaria,lanceolata,E,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-349,2769,14983,-3.65,-28.72,1.21,46.08,1,Fabales,Fabaceae,Crotalarieae,Crotalaria lanceolata,Crotalaria,lanceolata,E,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-311,3200,11455,1.36,-30.14,1.41,36.38,1,Fabales,Fabaceae,Crotalarieae,Crotalaria rotundifolia,Crotalaria,rotundifolia,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD419,2342,3641,2.52,-32.43,2.41,39.52,1,Fabales,Fabaceae,Crotalarieae,Crotalaria rotundifolia,Crotalaria,rotundifolia,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD424,2539,3417,1.98,-32.23,2.38,33.82,1,Fabales,Fabaceae,Crotalarieae,Crotalaria rotundifolia,Crotalaria,rotundifolia,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD397,5831,7742,1.31,-30.25,2.53,38.97,1,Fabales,Fabaceae,Crotalarieae,Crotalaria sp.,Crotalaria,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD403,4756,5344,1.5,-30.31,1.99,34.2,1,Fabales,Fabaceae,Crotalarieae,Crotalaria sp.,Crotalaria,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD566,2074,10093,1.68,-29.62,2.15,40.46,1,Fabales,Fabaceae,Amorpheae,Dalea candida,Dalea,candida,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD567,1468,10326,1.39,-28.32,1.73,37.8,1,Fabales,Fabaceae,Amorpheae,Dalea candida,Dalea,candida,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD568,2434,9801,0.26,-26.51,2.6,40.55,1,Fabales,Fabaceae,Amorpheae,Dalea purpurea,Dalea,purpurea,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD404,5950,6509,0.56,-30.08,2.65,44.62,1,Fabales,Fabaceae,Desmodieae,Dalea sp.,Dalea,sp.,n/a,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD405,4988,9192,0.6,-28.74,2.01,42.76,1,Fabales,Fabaceae,Desmodieae,Dalea sp.,Dalea,sp.,n/a,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD544,2023,10317,2.14,-30.43,1.96,43.83,1,Fabales,Fabaceae,Mimoseae,Desmanthus illinoiensis,Desmanthus,illinoiensis,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD545,2094,12680,0.92,-32.14,1.99,41.99,1,Fabales,Fabaceae,Mimoseae,Desmanthus illinoiensis,Desmanthus,illinoiensis,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD557,1981,9760,2.2,-31.91,2.21,42.65,1,Fabales,Fabaceae,Mimoseae,Desmanthus illinoiensis,Desmanthus,illinoiensis,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD558,2149,11032,4.62,-31.07,2.07,41.02,1,Fabales,Fabaceae,Mimoseae,Desmanthus illinoiensis,Desmanthus,illinoiensis,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD569,1568,10448,1.6,-27.85,1.65,42.14,1,Fabales,Fabaceae,Mimoseae,Desmanthus illinoiensis,Desmanthus,illinoiensis,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD570,2377,12807,1.51,-28.17,2.1,43.84,1,Fabales,Fabaceae,Mimoseae,Desmanthus illinoiensis,Desmanthus,illinoiensis,N,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD-321,3737,9980,-1.24,-33.31,1.62,43.22,1,Fabales,Fabaceae,Desmodieae,Desmodium incanum,Desmodium,incanum,E,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD-322,3784,10455,-1.24,-31.82,1.53,42.83,1,Fabales,Fabaceae,Desmodieae,Desmodium trifolium,Desmodium,trifolium,E,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD-331,8313,10972,-1.86,-33.86,3.42,45.51,1,Fabales,Fabaceae,Desmodieae,Desmodium incanum,Desmodium,incanum,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-340,10323,10154,-1.01,-33.07,4.42,43.3,1,Fabales,Fabaceae,Desmodieae,Desmodium trifolium,Desmodium,trifolium,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD547,2231,9345,0.33,-33.18,2.51,46.78,1,Fabales,Fabaceae,Desmodieae,Desmodium incanum,Desmodium,incanum,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD548,2238,9620,1.12,-32.43,2.4,46.33,1,Fabales,Fabaceae,Desmodieae,Desmodium incanum,Desmodium,incanum,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD618,3664,11408,-0.94,-31.21,3.58,45.46,1,Fabales,Fabaceae,Desmodieae,Desmodium trifolium,Desmodium,trifolium,E,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD619,3586,13575,-1.06,-31.37,3.67,46,1,Fabales,Fabaceae,Desmodieae,Desmodium trifolium,Desmodium,trifolium,E,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD625,2407,10152,-0.47,-35.47,2.42,42.7,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
