Sample,Amp28,Amp44,d15NpermilvsAIR,d13CpermilvsVPDB,wtN,wtC,Fixing,Order,Family,Tribe,binomial,Genus,Species,Native_status,Locality,Soil_pct_N_1,Soil_pct_N_2,Soil_pct_C_1,Soil_pct_C_2,County,Collector,Habitat,Habitat_detailed,State,ID_qualifier
JRD626,2866,9976,-0.2,-36.34,2.98,43.59,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
N33-1,2106,8920,2.03,-31.48,2.43,40.19,1,Fabales,Fabaceae,Desmodieae,Desmodium ciliare,Desmodium,ciliare,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
N33-2,3319,11144,0.17,-30.86,3.14,41.11,1,Fabales,Fabaceae,Desmodieae,Desmodium ciliare,Desmodium,ciliare,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD423,1784,4824,3.9,-31.12,1.52,43.4,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,cf.
JRD426,2201,4250,2.08,-31.02,2.06,42.83,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,cf.
JRD511,2228,9488,0.89,-35.21,2.27,41.3,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD512,2618,10488,0.17,-33.58,2.48,41.41,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD513,3135,11328,-0.14,-33.56,2.85,43.13,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD514,1758,9939,0.16,-33.48,1.8,42.96,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD639,2960,10556,-0.23,-31.23,2.91,43.58,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD640,4031,12877,-0.24,-31.95,3.47,44.25,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD641,3738,13780,0.54,-34.52,3.12,44.78,1,Fabales,Fabaceae,Desmodieae,Desmodium rotundifolia,Desmodium,rotundifolia,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD642,3245,13878,1.48,-34.24,2.64,43.4,1,Fabales,Fabaceae,Desmodieae,Desmodium rotundifolia,Desmodium,rotundifolia,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD644,2573,10275,0.41,-32.9,2.69,43.2,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD645,2815,13250,0.19,-33.35,2.4,43.55,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD392,5534,6444,-0.12,-30.94,2.53,44.81,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD393,6765,6942,0.26,-31.61,2.82,44.85,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD480,1820,11223,0.43,-31.93,1.64,39.63,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD485,1349,11262,0.95,-28.83,1.45,46.8,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD488,1651,9729,2.82,-31.22,1.97,44.4,1,Fabales,Fabaceae,Desmodieae,Desmodium rotundifolia,Desmodium,rotundifolia,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD489,2107,10559,1.89,-31.83,2.29,44.89,1,Fabales,Fabaceae,Desmodieae,Desmodium rotundifolia,Desmodium,rotundifolia,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD520,2280,10272,0.21,-32.78,2.28,44.27,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD521,2469,11424,1.88,-33.08,2.23,44.36,1,Fabales,Fabaceae,Desmodieae,Desmodium floridanum,Desmodium,floridanum,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD522,1366,9167,1.09,-30.98,1.47,43.53,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD523,2557,10533,0.33,-33.73,2.46,43.53,1,Fabales,Fabaceae,Desmodieae,Desmodium strictum,Desmodium,strictum,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD498,2103,12241,1.38,-33.82,1.96,44.74,1,Fabales,Fabaceae,Desmodieae,Desmodium sp.,Desmodium,sp.,n/a,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD500,2198,11303,0.88,-34.15,2.13,43.14,1,Fabales,Fabaceae,Desmodieae,Desmodium sp.,Desmodium,sp.,n/a,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD532,2220,10250,0.52,-36.08,2.33,40.78,1,Fabales,Fabaceae,Desmodieae,Desmodium sp.,Desmodium,sp.,n/a,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD643,1954,10880,-0.19,-32.74,2.02,43.09,1,Fabales,Fabaceae,Desmodieae,Desmodium sp.,Desmodium,sp.,n/a,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD536,1264,10269,3.18,-31.38,1.19,41.68,0,Poales,Poaceae,n/a,Dichanthelium sp.,Dichanthelium,sp.,n/a,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD518,1516,8758,2.21,-32.5,1.61,40.13,0,Poales,Poaceae,n/a,Dichanthelium sp.,Dichanthelium,sp.,n/a,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD598,1616,8605,0.78,-29.08,1.83,39.55,0,Poacles,Poaceae,n/a,Dichanthelium sp.,Dichanthelium,sp.,n/a,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD-347,9803,13077,3.18,-30.57,4.2,40.94,0,Lamiales,Bignoniaceae,n/a,Dolichandra unguis-cati,Dolichandra,unguis-cati,E,Lake Alice,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded forest,Florida,
JRD-337,8431,11155,-0.54,-33.53,3.54,45.95,1,Rosales,Elaeagnaceae,n/a,Elaeagnus pungens,Elaeagnus,pungens,E,Lake Alice,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded forest,Florida,
JRD382,3826,6566,1.66,-29.71,1.68,42.98,0,Asterales,Asteraceae,n/a,Elephantopus elatus,Elephantopus,elatus,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD468,2313,8747,0.31,-28.99,2.85,42.18,0,Asterales,Asteraceae,n/a,Elephantopus elatus,Elephantopus,elatus,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD-345,9413,10911,0.35,-33.54,3.95,44.67,1,Fabales,Fabaceae,Phaseoleae,Erythrina herbacea,Erythrina,herbacea,N,Lake Alice,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded forest,Florida,
Rosery Pea,2625,8922,-0.6,-26.51,2.96,45.2,1,Fabales,Fabaceae,Phaseoleae,Erythrina herbacea,Erythrina,herbacea,N,Fort Myers,n/a,n/a,n/a,n/a,Lee,Doby,Disturbed,Disturbed roadside,Florida,
JRD576,3540,11419,0.39,-29.53,3.46,44.19,1,Fabales,Fabaceae,Phaseoleae,Erythrina herbacea,Erythrina,herbacea,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD577,3200,10601,0.18,-29.76,3.32,44.58,1,Fabales,Fabaceae,Phaseoleae,Erythrina herbacea,Erythrina,herbacea,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD385,6012,5887,0.55,-29.95,2.66,40.12,1,Fabales,Fabaceae,Phaseoleae,Erythrina herbacea,Erythrina,herbacea,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD395,9416,7201,0.33,-28.63,3.64,43.47,1,Fabales,Fabaceae,Phaseoleae,Erythrina herbacea,Erythrina,herbacea,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD453,1710,4728,3.81,-33.03,1.83,53.52,0,Asterales,Asteraceae,n/a,Eupatorium capillifolium,Eupatorium,capillifolium,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD-346,4282,9156,-2.11,-14.49,1.89,39.76,0,Malpighiales,Euphorbiaceae,n/a,Euphorbia maculata,Euphorbia,maculata,N,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,cf.
JRD586,1300,11771,-0.88,-14.76,1.27,42.03,0,Poacles,Poaceae,n/a,Eustachys sp.,Eustachys,sp.,n/a,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD604,809,8501,-4.04,-14.46,0.96,41.19,0,Poacles,Poaceae,n/a,Eustachys sp.,Eustachys,sp.,n/a,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD509,2817,12075,0.85,-34.24,3.09,43.58,1,Fabales,Fabaceae,Desmodieae,Fabaceae morph 1,Fabaceae,morph_1,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD510,4413,10892,-0.45,-33.84,4.45,45.82,1,Fabales,Fabaceae,Desmodieae,Fabaceae morph 1,Fabaceae,morph_1,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD515,1511,13552,1.78,-34.9,1.41,42.31,1,Fabales,Fabaceae,Desmodieae,Fabaceae morph 2,Fabaceae,morph_2,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD516,2014,9579,1.98,-34.95,2.12,43.86,1,Fabales,Fabaceae,Desmodieae,Fabaceae morph 2,Fabaceae,morph_2,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD524,2711,9961,1.57,-35.27,2.82,44.98,1,Fabales,Fabaceae,Desmodieae,Fabaceae morph 2,Fabaceae,morph_2,n/a,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD525(2),2843,11232,1.66,-33.79,2.63,44.52,1,Fabales,Fabaceae,n/a,Fabaceae morph 2,Fabaceae,morph_2,n/a,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD478,2542,9078,0.57,-31.57,2.91,40.62,1,Fabales,Fabaceae,n/a,Fabaceae tbd,Fabaceae,tbd,n/a,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD479,3205,9501,0.53,-32.2,3.66,42.32,1,Fabales,Fabaceae,n/a,Fabaceae tbd,Fabaceae,tbd,n/a,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD-323,6504,9905,-0.53,-32.94,2.7,40.62,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD-325,9500,10768,-0.75,-32.8,3.54,40.3,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
N34-1,1869,12314,2.89,-32.1,1.65,41.79,1,Fabales,Fabaceae,Diocleae,Galactia volubilis,Galactia,volubilis,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
N34-2,2226,15426,0.43,-30.75,1.94,42.24,1,Fabales,Fabaceae,Diocleae,Galactia volubilis,Galactia,volubilis,N,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD-312,7817,11600,-0.04,-32.28,3.1,46.01,1,Fabales,Fabaceae,Diocleae,Galactia elliottii,Galactia,elliottii,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD589,5207,10413,-0.71,-32.09,5.18,42.31,1,Fabales,Fabaceae,Diocleae,Galactia sp.,Galactia,sp.,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD590,5120,12174,-1.06,-30.72,4.31,42.28,1,Fabales,Fabaceae,Diocleae,Galactia sp.,Galactia,sp.,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD633,2285,6669,0.01,-33.41,2.44,39.97,1,Fabales,Fabaceae,Diocleae,Galactia sp.,Galactia,sp.,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD634,2733,10544,-1.42,-32.47,2.58,40.19,1,Fabales,Fabaceae,Diocleae,Galactia sp.,Galactia,sp.,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD370,7212,5896,0.33,-29.4,3.27,42.64,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD374,8533,6137,-1.18,-30.49,3.84,44.3,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD390,9144,5928,-1.54,-31.08,4.09,41.63,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD394,6713,6683,-0.12,-31.44,2.88,44.42,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD459,2003,4799,-0.8,-29.17,2.2,42.32,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD460,1651,3483,-0.14,-30.12,1.98,44.7,1,Fabales,Fabaceae,Diocleae,Galactia regularis,Galactia,regularis,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD529,2767,10728,0.7,-37.54,2.89,43.02,1,Fabales,Fabaceae,Desmodieae,Hylodesmum nudiflorum,Hylodesmum,nudiflorum,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD530,2905,12039,-0.44,-35.4,2.72,43.01,1,Fabales,Fabaceae,Desmodieae,Hylodesmum nudiflorum,Hylodesmum,nudiflorum,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
N32-1,2325,9415,0.11,-35.96,2.67,41.71,1,Fabales,Fabaceae,Desmodieae,Hylodesmum glutinosum,Hylodesmum,glutinosum,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
N32-2,2232,11326,1.24,-37.02,2.58,40.63,1,Fabales,Fabaceae,Desmodieae,Hylodesmum glutinosum,Hylodesmum,glutinosum,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD-334,13033,10369,0.1,-30.67,5.05,40.16,1,Fabales,Fabaceae,Indigofereae,Indigofera spicata,Indigofera,spicata,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD637,1863,9267,0.85,-31.86,1.89,38.71,1,Fabales,Fabaceae,Indigofereae,Indigofera hirsuta,Indigofera,hirsuta,E,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD638,2061,10275,0.13,-32.26,1.93,38.89,1,Fabales,Fabaceae,Indigofereae,Indigofera hirsuta,Indigofera,hirsuta,E,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD622b Juniperus,1386,11395,-1.63,-32.28,1.38,46.97,0,Cuprles,Cupressaceae,n/a,Juniperus virginiana,Juniperus,virginiana,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
JRD583,1762,10493,-2.05,-29.57,1.91,43.76,0,Cuprles,Cupressaceae,n/a,Juniperus virginiana,Juniperus,virginiana,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD614,657,13079,-4.78,-29.67,0.63,46.84,0,Cuprles,Cupressaceae,n/a,Juniperus virginiana,Juniperus,virginiana,N,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD494,1994,9753,-0.25,-33.12,2.32,43.98,1,Fabales,Fabaceae,Desmodieae,Lespedeza cuneata,Lespedeza,cuneata,E,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD495,2328,10830,-0.22,-35.01,2.33,42.6,1,Fabales,Fabaceae,Desmodieae,Lespedeza cuneata,Lespedeza,cuneata,E,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD541,2264,11681,0.01,-31.56,2.56,46.44,1,Fabales,Fabaceae,Desmodieae,Lespedeza cuneata,Lespedeza,cuneata,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD565,1669,10775,-0.79,-30.3,1.73,43.24,1,Fabales,Fabaceae,Desmodieae,Lespedeza cuneata,Lespedeza,cuneata,E,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD486,1953,11129,1.05,-30.84,2.02,45.12,1,Fabales,Fabaceae,Desmodieae,Lespedeza sp.,Lespedeza,sp.,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD487,1786,10312,1.1,-31.42,1.98,44.8,1,Fabales,Fabaceae,Desmodieae,Lespedeza sp.,Lespedeza,sp.,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD406,5066,7070,-1.75,-29.98,2.2,48.05,1,Fabales,Fabaceae,Desmodieae,Lespedeza sp.,Lespedeza,sp.,n/a,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD461,972,4403,-0.86,-29.55,1,48.28,1,Fabales,Fabaceae,Desmodieae,Lespedeza sp.,Lespedeza,sp.,n/a,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD462,1204,3631,0.44,-30.71,1.48,47.96,1,Fabales,Fabaceae,Desmodieae,Lespedeza sp.,Lespedeza,sp.,n/a,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD-327,3286,15703,2.96,-30.14,1.34,45.97,0,Saxifragales,Altingiaceae,n/a,Liquidambar styraciflua,Liquidambar,styraciflua,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD555,3112,10366,-0.24,-31.87,3.26,42,1,Fabales,Fabaceae,Trifolieae,Medicago lupulina,Medicago,lupulina,E,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD561,2495,9494,0.38,-29.84,2.48,37.04,1,Fabales,Fabaceae,Trifolieae,Melilotus albus,Melilotus,albus,E,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD562,4287,10440,0.11,-28.78,4.29,40.58,1,Fabales,Fabaceae,Trifolieae,Melilotus albus,Melilotus,albus,E,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
GUR-MIS,7196,11074,-0.01,-31.07,3.04,45.12,1,Fabales,Fabaceae,Mimoseae,Mimosa pudica,Mimosa,pudica,E,Gainesville,n/a,n/a,n/a,n/a,Alachua,Guralnick,Disturbed,Disturbed,Florida,
JRD386,13654,7347,0.23,-32.29,5.67,47.96,1,Fabales,Fabaceae,Mimoseae,Mimosa sp.,Mimosa,sp.,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD396,7292,5863,0.72,-32.33,3.32,41.37,1,Fabales,Fabaceae,Mimoseae,Mimosa sp.,Mimosa,sp.,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD409,9289,6393,-0.01,-30.63,4.06,44.03,1,Fabales,Fabaceae,Mimoseae,Mimosa sp.,Mimosa,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD410,11374,6176,0.4,-31.88,4.84,41.23,1,Fabales,Fabaceae,Mimoseae,Mimosa sp.,Mimosa,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD-324,3942,11480,0.1,-33.69,1.66,48.03,1,Fagales,Myricaceae,n/a,Morella cerifera,Morella,cerifera,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD-317,3277,12273,-0.3,-31.21,1.33,48.49,1,Fagales,Myricaceae,n/a,Morella pumila,Morella,pumila,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD416,1573,4046,3.37,-32.51,1.75,47.54,1,Fagales,Myricaceae,n/a,Morella sp.,Morella,sp.,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
